,Dataset,N,Omega,D
0,chips,1,1.0,1.0
0,chips,21,0.94,16.0
0,chips,41,0.8,34.0
0,chips,61,0.54,41.0
0,chips,81,0.58,49.0
0,chips,101,0.54,61.0
0,chips,121,0.6,68.0
0,chips,141,0.44,78.0
0,chips,161,0.5,86.0
0,chips,181,0.38,93.0
0,chips,201,0.34,100.0
0,chips,221,0.22,106.0
0,chips,241,0.2,112.0
0,chips,261,0.2,114.0
0,chips,281,0.26,117.0
0,chips,301,0.22,123.0
0,chips,321,0.22,126.0
0,chips,341,0.18,130.0
0,chips,361,0.12,133.0
0,chips,381,0.1,136.0
0,chips,401,0.12,139.0
0,chips,421,0.12,140.0
0,chips,441,0.2,142.0
0,chips,461,0.22,144.0
0,chips,481,0.26,148.0
0,chips,501,0.16,152.0
0,chips,521,0.12,155.0
0,chips,541,0.12,158.0
0,chips,561,0.12,159.0
0,chips,581,0.12,162.0
0,chips,601,0.2,164.0
0,chips,621,0.2,166.0
0,chips,641,0.14,171.0
0,chips,661,0.16,174.0
0,chips,681,0.18,177.0
0,chips,701,0.18,181.0
0,chips,721,0.12,186.0
0,chips,741,0.14,186.0
0,chips,761,0.14,189.0
0,chips,781,0.16,190.0
0,chips,801,0.18,193.0
0,chips,821,0.2,196.0
0,chips,841,0.2,198.0
0,chips,861,0.12,205.0
0,chips,881,0.14,207.0
0,chips,901,0.14,210.0
0,chips,921,0.14,212.0
0,chips,941,0.14,214.0
0,chips,961,0.16,218.0
0,chips,981,0.24,219.0
0,chips,1001,0.22,222.0
0,chips,1021,0.2,229.0
0,chips,1041,0.2,231.0
0,chips,1061,0.14,235.0
0,chips,1081,0.12,239.0
0,chips,1101,0.12,242.0
0,chips,1121,0.16,243.0
0,chips,1141,0.1,246.0
0,chips,1161,0.16,248.0
0,chips,1181,0.18,250.0
0,chips,1201,0.12,254.0
0,chips,1221,0.04,258.0
0,chips,1241,0.08,259.0
0,chips,1261,0.06,260.0
0,chips,1281,0.06,262.0
0,chips,1301,0.08,263.0
0,chips,1321,0.1,264.0
0,chips,1341,0.12,265.0
0,chips,1361,0.14,268.0
0,chips,1381,0.1,270.0
0,chips,1401,0.12,271.0
0,chips,1421,0.1,274.0
0,chips,1441,0.14,276.0
0,chips,1461,0.18,277.0
0,chips,1481,0.16,281.0
0,chips,1501,0.16,282.0
0,chips,1521,0.14,284.0
0,chips,1541,0.12,287.0
0,chips,1561,0.08,290.0
0,chips,1581,0.08,292.0
0,chips,1601,0.04,294.0
0,chips,1621,0.12,294.0
0,chips,1641,0.14,295.0
0,chips,1661,0.14,298.0
0,chips,1681,0.16,300.0
0,chips,1701,0.1,303.0
0,chips,1721,0.08,305.0
0,chips,1741,0.06,307.0
0,chips,1761,0.1,308.0
0,chips,1781,0.18,309.0
0,chips,1801,0.14,313.0
0,chips,1821,0.08,316.0
0,chips,1841,0.1,318.0
0,chips,1861,0.12,320.0
0,chips,1881,0.2,321.0
0,chips,1901,0.18,323.0
0,chips,1921,0.1,327.0
