latitude;longitude;population
40,6943;-73,9249;18908608
34,1141;-118,4068;11922389
41,8375;-87,6866;8497759
25,784;-80,2101;6080145
29,786;-95,3885;5970127
32,7935;-96,7667;5830932
40,0077;-75,1339;5683533
33,7628;-84,422;5180179
38,9047;-77,0163;5116378
42,3188;-71,0852;4328315
33,5722;-112,0892;4064275
42,3834;-83,1024;3725908
47,6211;-122,3244;3561397
37,7558;-122,4449;3364979
32,8313;-117,1222;3046560
44,9635;-93,2678;2892569
27,9945;-82,4447;2861173
40,6501;-73,9496;2736074
39,762;-104,8758;2687458
40,7498;-73,7976;2405464
33,9381;-117,3949;2332836
36,2333;-115,2654;2248047
39,3051;-76,6144;2196524
38,6359;-90,2451;2130881
45,5371;-122,65;2095808
29,4632;-98,5238;2058444
38,5677;-121,4685;1957738
30,3005;-97,7522;1905945
28,4773;-81,337;1882705
18,3985;-66,061;1814587
37,3012;-121,848;1771413
40,4397;-79,9763;1749091
39,7771;-86,1458;1729849
40,7834;-73,9662;1694263
39,1413;-84,506;1692702
39,1238;-94,5541;1689556
41,4764;-81,6805;1680247
39,9862;-82,9855;1572546
40,8501;-73,8662;1472654
36,7335;-76,0435;1443020
35,2083;-80,8303;1427444
43,0642;-87,9675;1290940
41,823;-71,4187;1290271
30,3322;-81,6749;1288298
36,1715;-86,7842;1177657
40,7776;-111,9311;1173879
35,8324;-78,6429;1163152
37,5295;-77,4756;1073223
35,1087;-89,9663;1037998
35,4676;-97,5136;998806
41,7661;-72,6834;974684
38,1663;-85,6485;963812
42,9018;-78,8487;944589
30,0687;-89,9288;932759
32,7817;-97,3474;924663
41,1918;-73,1954;908251
32,1541;-110,8787;878320
31,8476;-106,43;865270
41,2627;-96,0529;821345
26,2252;-98,2467;797341
33,5279;-86,7971;782111
35,1054;-106,6465;769986
36,1283;-95,9042;731743
36,783;-119,7939;725276
32,8168;-79,9687;706884
43,168;-77,6162;699921
39,7805;-84,2003;668825
26,6443;-81,9957;654405
33,6096;-117,6551;642211
38,8674;-104,7605;638194
30,442;-91,1311;635671
40,5961;-75,4756;627863
41,2279;-111,9682;622918
40,2457;-111,6457;619218
35,9692;-83,9496;615829
42,9619;-85,6562;609023
34,0378;-80,9036;604065
42,6664;-73,7987;590694
35,3529;-119,0359;571992
41,3113;-72,9246;565572
41,5725;-93,6105;548926
41,0798;-81,5219;541945
27,9631;-80,6593;534348
37,9722;-122,0016;531175
37,6895;-97,3443;509003
33,4015;-111,7178;503390
40,2752;-76,8843;498329
40,5834;-74,1496;495747
41,6638;-83,5827;493302
42,2705;-71,8079;486486
33,7977;-118,167;462293
27,2796;-80,3884;462047
34,7256;-92,3577;459409
39,5497;-119,8483;457702
47,6671;-117,433;456219
43,0822;-89,393;451652
43,6005;-116,2308;449776
26,3558;-81,7859;449527
33,2175;-97,1418;438492
37,7904;-122,2166;437825
42,1155;-72,5395;437752
33,3645;-82,0708;437257
28,3041;-81,4169;431618
36,1029;-80,261;427706
37,9765;-121,3109;413637
43,0407;-76,1437;410732
35,066;-85,2481;406849
40,042;-76,3012;402476
34,8354;-82,3646;401443
35,9792;-78,9022;399616
30,4413;-87,1911;398813
36,0714;-94,1661;394650
32,6998;-97,125;393469
39,7083;-104,7237;387349
34,1964;-119,1815;369962
33,7346;-116,2346;369654
41,4044;-75,6649;366334
34,5277;-117,3536;364015
40,2237;-74,7641;362179
37,6375;-121,0028;354183
34,6981;-86,6412;349482
21,3294;-157,846;348547
36,0956;-79,8271;347130
33,839;-117,8574;347111
27,7254;-97,3767;337230
41,0888;-85,1436;337163
40,5477;-105,0656;335398
32,3157;-90,2125;335171
33,7094;-78,8844;332181
35,085;-78,9772;328804
37,9787;-121,796;327216
42,7142;-84,5601;322561
38,0423;-84,4587;321276
30,6782;-88,1162;320855
41,0993;-80,6463;319065
36,0133;-115,0381;318063
32,0286;-81,1821;316050
41,695;-73,9211;314159
33,7367;-117,8819;311379
42,2759;-83,731;308983
44,9478;-93,1039;308806
40,7245;-74,1725;307355
33,6772;-117,7738;304527
38,4458;-122,7067;296180
40,8078;-81,3676;294047
35,5707;-82,5537;294013
43,0236;-83,6921;293893
28,0118;-81,7014;293093
61,1508;-149,1091;290674
40,8099;-96,6784;290531
35,3933;-80,6369;288783
40,7184;-74,0686;287899
37,1943;-93,2916;286280
33,0502;-96,7486;284948
32,4653;-93,7955;283536
41,5565;-90,6053;281333
33,5657;-101,8879;280890
28,0557;-81,9545;280346
41,6767;-86,2696;278061
32,6281;-117,0144;276103
33,2825;-111,8514;275618
42,2596;-89,064;273237
40,34;-75,9267;272712
44,0564;-123,1174;270990
34,2099;-77,8866;268625
34,4175;-118,4964;268273
