scale,ncc,meanpat,stdpat,nlinks,fclust
0.010000,1341,11.660701,37.952847,1382,0.988938
0.012041,1337,11.695587,38.005997,1390,0.985988
0.014497,1333,11.730682,38.075424,1398,0.983038
0.017456,1325,11.801510,38.198185,1414,0.977139
0.021017,1306,11.973201,39.691811,1454,0.963127
0.025306,1298,12.046995,39.840828,1476,0.957227
0.030470,1261,12.400476,40.919601,1556,0.929941
0.036687,1202,13.009151,42.956997,1688,0.886431
0.044173,1131,13.825818,46.296349,1872,0.834071
0.053187,1040,15.035577,52.210701,2148,0.766962
0.064040,933,16.759914,72.071609,2538,0.688053
0.077108,792,19.743687,102.351639,3204,0.584071
0.092841,682,22.928152,120.589417,4018,0.502950
0.111786,582,26.867697,168.408142,5148,0.429204
0.134596,485,32.241238,200.930115,6682,0.357670
0.162061,393,39.788803,248.505249,8838,0.289823
0.195129,329,47.528877,275.189636,11674,0.242625
0.234946,277,56.451263,300.126862,15660,0.204277
0.282887,244,64.086067,332.178040,20652,0.179941
0.340611,220,71.077271,350.654144,27172,0.162242
0.410113,188,83.175529,379.550323,35270,0.138643
0.493797,164,95.347565,411.050720,45046,0.120944
0.594557,144,108.590279,470.227142,55976,0.106195
0.715877,124,126.104836,505.879761,68210,0.091445
0.861953,104,150.355774,553.169250,80932,0.076696
1.037837,80,195.462494,630.607361,94834,0.058997
1.249609,68,229.955887,689.845032,109734,0.050147
1.504594,47,332.702118,833.009766,125886,0.034661
1.811609,33,473.848480,1548.889526,143644,0.024336
2.181271,18,868.722229,2234.132812,163196,0.013274
2.626363,14,1116.928589,2481.095947,187712,0.010324
3.162277,5,3127.399902,3904.625000,220596,0.003687
