scale,ncc,meanpat,stdpat,nlinks,fclust,rep
0.010000,2433,14.348541,53.292358,2522,0.987419,0
0.010000,2433,14.348541,53.283031,2522,0.987419,1
0.010000,2433,14.348541,53.285748,2522,0.987419,2
0.010000,2433,14.348541,53.295544,2522,0.987419,3
0.010000,2433,14.348541,53.297260,2522,0.987419,4
0.010000,2433,14.348541,53.321243,2522,0.987419,5
0.010000,2433,14.348541,53.274681,2522,0.987419,6
0.010000,2433,14.348541,53.279507,2522,0.987419,7
0.010000,2433,14.348541,53.288475,2522,0.987419,8
0.010000,2433,14.348541,53.330215,2522,0.987419,9
0.010000,2433,14.348541,53.283455,2522,0.987419,10
0.010000,2433,14.348541,53.302963,2522,0.987419,11
0.010000,2433,14.348541,53.286293,2522,0.987419,12
0.010000,2433,14.348541,53.399666,2522,0.987419,13
0.010000,2433,14.348541,53.332169,2522,0.987419,14
0.010000,2433,14.348541,53.316521,2522,0.987419,15
0.010000,2433,14.348541,53.276272,2522,0.987419,16
0.010000,2433,14.348541,53.282677,2522,0.987419,17
0.010000,2433,14.348541,53.331135,2522,0.987419,18
0.010000,2433,14.348541,53.335396,2522,0.987419,19
0.010000,2433,14.348541,53.293121,2522,0.987419,20
0.010000,2433,14.348541,53.316944,2522,0.987419,21
0.010000,2433,14.348541,53.301720,2522,0.987419,22
0.010000,2433,14.348541,53.279251,2522,0.987419,23
0.010000,2433,14.348541,53.297760,2522,0.987419,24
0.010000,2433,14.348541,53.283943,2522,0.987419,25
0.010000,2433,14.348541,53.296104,2522,0.987419,26
0.010000,2433,14.348541,53.383007,2522,0.987419,27
0.010000,2433,14.348541,53.322403,2522,0.987419,28
0.010000,2433,14.348541,53.277397,2522,0.987419,29
0.010000,2433,14.348541,53.300953,2522,0.987419,30
0.010000,2433,14.348541,53.309368,2522,0.987419,31
0.010000,2433,14.348541,53.286942,2522,0.987419,32
0.010000,2433,14.348541,53.314220,2522,0.987419,33
0.010000,2433,14.348541,53.329826,2522,0.987419,34
0.010000,2433,14.348541,53.284985,2522,0.987419,35
0.010000,2433,14.348541,53.286839,2522,0.987419,36
0.010000,2433,14.348541,53.311512,2522,0.987419,37
0.010000,2433,14.348541,53.272160,2522,0.987419,38
0.010000,2433,14.348541,53.271141,2522,0.987419,39
0.010000,2433,14.348541,53.308258,2522,0.987419,40
0.010000,2433,14.348541,53.275463,2522,0.987419,41
0.010000,2433,14.348541,53.275570,2522,0.987419,42
0.010000,2433,14.348541,53.274998,2522,0.987419,43
0.010000,2433,14.348541,53.307281,2522,0.987419,44
0.010000,2433,14.348541,53.317310,2522,0.987419,45
0.010000,2433,14.348541,53.331108,2522,0.987419,46
0.010000,2433,14.348541,53.277641,2522,0.987419,47
0.010000,2433,14.348541,53.312119,2522,0.987419,48
0.010000,2433,14.348541,53.269958,2522,0.987419,49
0.010000,2433,14.348541,53.282482,2522,0.987419,50
0.010000,2433,14.348541,53.287464,2522,0.987419,51
0.010000,2433,14.348541,53.330708,2522,0.987419,52
0.010000,2433,14.348541,53.306980,2522,0.987419,53
0.010000,2433,14.348541,53.336384,2522,0.987419,54
0.010000,2433,14.348541,53.360207,2522,0.987419,55
0.010000,2433,14.348541,53.350277,2522,0.987419,56
0.010000,2433,14.348541,53.295841,2522,0.987419,57
0.010000,2433,14.348541,53.293587,2522,0.987419,58
0.010000,2433,14.348541,53.302551,2522,0.987419,59
0.010000,2433,14.348541,53.321152,2522,0.987419,60
0.010000,2433,14.348541,53.287807,2522,0.987419,61
0.010000,2433,14.348541,53.300655,2522,0.987419,62
0.010000,2433,14.348541,53.288696,2522,0.987419,63
0.010000,2433,14.348541,53.292576,2522,0.987419,64
