scale,ncc,meanpat,stdpat,nlinks,fclust
0.010000,1518,9.619895,38.597137,1520,0.998684
0.012041,1512,9.658069,38.671822,1532,0.994737
0.014497,1510,9.670861,38.786190,1536,0.993421
0.017456,1504,9.709441,38.858982,1548,0.989474
0.021017,1485,9.833670,40.130611,1586,0.976974
0.025306,1470,9.934013,40.335133,1616,0.967105
0.030470,1421,10.276566,41.317085,1720,0.934868
0.036687,1368,10.674707,43.073025,1844,0.900000
0.044173,1300,11.233077,46.140678,2012,0.855263
0.053187,1191,12.261126,58.934841,2314,0.783553
0.064040,1078,13.546382,80.141655,2742,0.709211
0.077108,922,15.838395,114.074776,3420,0.606579
0.092841,782,18.673914,128.036545,4306,0.514474
0.111786,664,21.992470,168.206024,5522,0.436842
0.134596,555,26.311712,212.896133,7106,0.365132
0.162061,448,32.595982,239.199127,9430,0.294737
0.195129,373,39.150135,264.393951,12326,0.245395
0.234946,314,46.506371,292.564911,16298,0.206579
0.282887,283,51.600708,308.024231,21484,0.186184
0.340611,245,59.604080,352.725861,28068,0.161184
0.410113,220,66.377274,391.870911,36322,0.144737
0.493797,194,75.273193,422.438812,45702,0.127632
0.594557,166,87.969879,458.915527,56484,0.109211
0.715877,140,104.307144,500.480499,68332,0.092105
0.861953,114,128.096497,561.561401,80996,0.075000
1.037837,92,158.728256,633.252930,94620,0.060526
1.249609,65,224.661545,903.184753,110244,0.042763
1.504594,48,304.229156,1134.354004,128750,0.031579
1.811609,33,442.515137,1347.972900,150740,0.021711
2.181271,17,859.000000,1842.076538,176826,0.011184
2.626363,12,1216.916626,2596.175293,211170,0.007895
3.162277,7,2086.142822,3294.018799,259028,0.004605
