scale,ncc,meanpat,stdpat,nlinks,fclust,rep
0.010000,1518,9.619895,38.597462,1520,0.998684,0
0.010000,1518,9.619895,38.599140,1520,0.998684,1
0.010000,1518,9.619895,38.597450,1520,0.998684,2
0.010000,1518,9.619895,38.601669,1520,0.998684,3
0.010000,1518,9.619895,38.606880,1520,0.998684,4
0.010000,1518,9.619895,38.597431,1520,0.998684,5
0.010000,1518,9.619895,38.604122,1520,0.998684,6
0.010000,1518,9.619895,38.598221,1520,0.998684,7
0.010000,1518,9.619895,38.597389,1520,0.998684,8
0.010000,1518,9.619895,38.597759,1520,0.998684,9
0.010000,1518,9.619895,38.597427,1520,0.998684,10
0.010000,1518,9.619895,38.597694,1520,0.998684,11
0.010000,1518,9.619895,38.600525,1520,0.998684,12
0.010000,1518,9.619895,38.597374,1520,0.998684,13
0.010000,1518,9.619895,38.597401,1520,0.998684,14
0.010000,1518,9.619895,38.597847,1520,0.998684,15
0.010000,1518,9.619895,38.597744,1520,0.998684,16
0.010000,1518,9.619895,38.597755,1520,0.998684,17
0.010000,1518,9.619895,38.598385,1520,0.998684,18
0.010000,1518,9.619895,38.601849,1520,0.998684,19
0.010000,1518,9.619895,38.597946,1520,0.998684,20
0.010000,1518,9.619895,38.597534,1520,0.998684,21
0.010000,1518,9.619895,38.597710,1520,0.998684,22
0.010000,1518,9.619895,38.597420,1520,0.998684,23
0.010000,1518,9.619895,38.597992,1520,0.998684,24
0.010000,1518,9.619895,38.599682,1520,0.998684,25
0.010000,1518,9.619895,38.598297,1520,0.998684,26
0.010000,1518,9.619895,38.597446,1520,0.998684,27
0.010000,1518,9.619895,38.597469,1520,0.998684,28
0.010000,1518,9.619895,38.597427,1520,0.998684,29
0.010000,1518,9.619895,38.598141,1520,0.998684,30
0.010000,1518,9.619895,38.599571,1520,0.998684,31
0.010000,1518,9.619895,38.601803,1520,0.998684,32
0.010000,1518,9.619895,38.597641,1520,0.998684,33
0.010000,1518,9.619895,38.599300,1520,0.998684,34
0.010000,1518,9.619895,38.597721,1520,0.998684,35
0.010000,1518,9.619895,38.600922,1520,0.998684,36
0.010000,1518,9.619895,38.650749,1520,0.998684,37
0.010000,1518,9.619895,38.597385,1520,0.998684,38
0.010000,1518,9.619895,38.598766,1520,0.998684,39
0.010000,1518,9.619895,38.597855,1520,0.998684,40
0.010000,1518,9.619895,38.597622,1520,0.998684,41
