scale,ncc,meanpat,stdpat,nlinks,fclust,rep
0.010000,1300,8.833846,34.277393,1318,0.994644,0
0.010000,1300,8.833846,34.264793,1318,0.994644,1
0.010000,1300,8.833846,34.274319,1318,0.994644,2
0.010000,1300,8.833846,34.264465,1318,0.994644,3
0.010000,1300,8.833846,34.264091,1318,0.994644,4
0.010000,1300,8.833846,34.264233,1318,0.994644,5
0.010000,1300,8.833846,34.286163,1318,0.994644,6
0.010000,1300,8.833846,34.270668,1318,0.994644,7
0.010000,1300,8.833846,34.272350,1318,0.994644,8
0.010000,1300,8.833846,34.264885,1318,0.994644,9
0.010000,1300,8.833846,34.306061,1318,0.994644,10
0.010000,1300,8.833846,34.269623,1318,0.994644,11
0.010000,1300,8.833846,34.264370,1318,0.994644,12
0.010000,1300,8.833846,34.305508,1318,0.994644,13
0.010000,1300,8.833846,34.264896,1318,0.994644,14
0.010000,1300,8.833846,34.265240,1318,0.994644,15
0.010000,1300,8.833846,34.266098,1318,0.994644,16
0.010000,1300,8.833846,34.265785,1318,0.994644,17
0.010000,1300,8.833846,34.265850,1318,0.994644,18
0.010000,1300,8.833846,34.267693,1318,0.994644,19
0.010000,1300,8.833846,34.282684,1318,0.994644,20
0.010000,1300,8.833846,34.264618,1318,0.994644,21
0.010000,1300,8.833846,34.271114,1318,0.994644,22
0.010000,1300,8.833846,34.267677,1318,0.994644,23
0.010000,1300,8.833846,34.264797,1318,0.994644,24
0.010000,1300,8.833846,34.266502,1318,0.994644,25
0.010000,1300,8.833846,34.263840,1318,0.994644,26
0.010000,1300,8.833846,34.304394,1318,0.994644,27
0.010000,1300,8.833846,34.265167,1318,0.994644,28
0.010000,1300,8.833846,34.264362,1318,0.994644,29
0.010000,1300,8.833846,34.272739,1318,0.994644,30
0.010000,1300,8.833846,34.263859,1318,0.994644,31
0.010000,1300,8.833846,34.273228,1318,0.994644,32
0.010000,1300,8.833846,34.264393,1318,0.994644,33
0.010000,1300,8.833846,34.264034,1318,0.994644,34
0.010000,1300,8.833846,34.264286,1318,0.994644,35
0.010000,1300,8.833846,34.265728,1318,0.994644,36
0.010000,1300,8.833846,34.264698,1318,0.994644,37
0.010000,1300,8.833846,34.265461,1318,0.994644,38
0.010000,1300,8.833846,34.264801,1318,0.994644,39
0.010000,1300,8.833846,34.263905,1318,0.994644,40
0.010000,1300,8.833846,34.265221,1318,0.994644,41
0.010000,1300,8.833846,34.264412,1318,0.994644,42
0.010000,1300,8.833846,34.291740,1318,0.994644,43
0.010000,1300,8.833846,34.273922,1318,0.994644,44
0.010000,1300,8.833846,34.266254,1318,0.994644,45
0.010000,1300,8.833846,34.267761,1318,0.994644,46
0.010000,1300,8.833846,34.281956,1318,0.994644,47
0.010000,1300,8.833846,34.264313,1318,0.994644,48
0.010000,1300,8.833846,34.267635,1318,0.994644,49
0.010000,1300,8.833846,34.264050,1318,0.994644,50
0.010000,1300,8.833846,34.264606,1318,0.994644,51
0.010000,1300,8.833846,34.264198,1318,0.994644,52
0.010000,1300,8.833846,34.278469,1318,0.994644,53
0.010000,1300,8.833846,34.414665,1318,0.994644,54
0.010000,1300,8.833846,34.271812,1318,0.994644,55
0.010000,1300,8.833846,34.266357,1318,0.994644,56
0.010000,1300,8.833846,34.264046,1318,0.994644,57
0.010000,1300,8.833846,34.266872,1318,0.994644,58
0.010000,1300,8.833846,34.264206,1318,0.994644,59
0.010000,1300,8.833846,34.263988,1318,0.994644,60
0.010000,1300,8.833846,34.381840,1318,0.994644,61
0.010000,1300,8.833846,34.266632,1318,0.994644,62
0.010000,1300,8.833846,34.265491,1318,0.994644,63
0.010000,1300,8.833846,34.266972,1318,0.994644,64
0.010000,1300,8.833846,34.292393,1318,0.994644,65
0.010000,1300,8.833846,34.266273,1318,0.994644,66
0.010000,1300,8.833846,34.270950,1318,0.994644,67
0.010000,1300,8.833846,34.266342,1318,0.994644,68
0.010000,1300,8.833846,34.268513,1318,0.994644,69
0.010000,1300,8.833846,34.264248,1318,0.994644,70
0.010000,1300,8.833846,34.269756,1318,0.994644,71
0.010000,1300,8.833846,34.265026,1318,0.994644,72
0.010000,1300,8.833846,34.269932,1318,0.994644,73
0.010000,1300,8.833846,34.375183,1318,0.994644,74
0.010000,1300,8.833846,34.263622,1318,0.994644,75
0.010000,1300,8.833846,34.265114,1318,0.994644,76
0.010000,1300,8.833846,34.265812,1318,0.994644,77
0.010000,1300,8.833846,34.270416,1318,0.994644,78
0.010000,1300,8.833846,34.267612,1318,0.994644,79
0.010000,1300,8.833846,34.301105,1318,0.994644,80
0.010000,1300,8.833846,34.265728,1318,0.994644,81
0.010000,1300,8.833846,34.264050,1318,0.994644,82
0.010000,1300,8.833846,34.266701,1318,0.994644,83
0.010000,1300,8.833846,34.269958,1318,0.994644,84
0.010000,1300,8.833846,34.423069,1318,0.994644,85
0.010000,1300,8.833846,34.265404,1318,0.994644,86
0.010000,1300,8.833846,34.283310,1318,0.994644,87
0.010000,1300,8.833846,34.266712,1318,0.994644,88
0.010000,1300,8.833846,34.277737,1318,0.994644,89
0.010000,1300,8.833846,34.264938,1318,0.994644,90
0.010000,1300,8.833846,34.264736,1318,0.994644,91
0.010000,1300,8.833846,34.268623,1318,0.994644,92
0.010000,1300,8.833846,34.267967,1318,0.994644,93
0.010000,1300,8.833846,34.268448,1318,0.994644,94
0.010000,1300,8.833846,34.265091,1318,0.994644,95
0.010000,1300,8.833846,34.265068,1318,0.994644,96
0.010000,1300,8.833846,34.265694,1318,0.994644,97
0.010000,1300,8.833846,34.280033,1318,0.994644,98
0.010000,1300,8.833846,34.271141,1318,0.994644,99
0.012041,1296,8.861111,34.338715,1326,0.991584,0
0.012041,1296,8.861111,34.314518,1326,0.991584,1
0.012041,1296,8.861111,34.324127,1326,0.991584,2
0.012041,1296,8.861111,34.314030,1326,0.991584,3
0.012041,1296,8.861111,34.315617,1326,0.991584,4
0.012041,1296,8.861111,34.313812,1326,0.991584,5
0.012041,1296,8.861111,34.353146,1326,0.991584,6
0.012041,1296,8.861111,34.320801,1326,0.991584,7
0.012041,1296,8.861111,34.330166,1326,0.991584,8
0.012041,1296,8.861111,34.317039,1326,0.991584,9
0.012041,1296,8.861111,34.357487,1326,0.991584,10
0.012041,1296,8.861111,34.323627,1326,0.991584,11
0.012041,1296,8.861111,34.315506,1326,0.991584,12
0.012041,1296,8.861111,34.355804,1326,0.991584,13
0.012041,1296,8.861111,34.315651,1326,0.991584,14
0.012041,1296,8.861111,34.314835,1326,0.991584,15
0.012041,1296,8.861111,34.316036,1326,0.991584,16
0.012041,1296,8.861111,34.323601,1326,0.991584,17
0.012041,1296,8.861111,34.315418,1326,0.991584,18
0.012041,1296,8.861111,34.358707,1326,0.991584,19
0.012041,1296,8.861111,34.333710,1326,0.991584,20
0.012041,1296,8.861111,34.335255,1326,0.991584,21
0.012041,1296,8.861111,34.321545,1326,0.991584,22
0.012041,1296,8.861111,34.322941,1326,0.991584,23
