scale,ncc,meanpat,stdpat,nlinks,fclust
0.010000,1300,8.833846,34.268253,1318,0.994644
0.012041,1296,8.861111,34.320763,1326,0.991584
0.014497,1293,8.881671,34.370319,1332,0.989288
0.017456,1290,8.902326,34.407906,1338,0.986993
0.021017,1277,8.992952,34.806911,1364,0.977047
0.025306,1269,9.049645,34.912579,1382,0.970926
0.030470,1236,9.291262,35.716194,1456,0.945677
0.036687,1203,9.546135,36.503719,1524,0.920428
0.044173,1145,10.029695,39.899052,1650,0.876052
0.053187,1060,10.833962,47.757065,1874,0.811018
0.064040,972,11.814815,62.534901,2166,0.743688
0.077108,860,13.353488,80.401550,2650,0.657995
0.092841,759,15.130435,88.873833,3246,0.580719
0.111786,637,18.028257,130.955139,4150,0.487376
0.134596,544,21.110294,163.030960,5218,0.416220
0.162061,467,24.591007,178.216797,6724,0.357307
0.195129,399,28.781956,200.030869,8734,0.305279
0.234946,341,33.677418,217.020905,11532,0.260903
0.282887,304,37.776318,229.621460,15122,0.232594
0.340611,256,44.859375,259.509369,19612,0.195868
0.410113,225,51.040001,285.232788,25474,0.172150
0.493797,191,60.125656,313.501495,32148,0.146136
0.594557,168,68.357140,333.957794,39706,0.128539
0.715877,141,81.446808,365.324493,48144,0.107881
0.861953,113,101.628319,427.104706,56828,0.086458
1.037837,91,126.197800,476.637848,65902,0.069625
1.249609,62,185.225800,617.013794,76104,0.047437
1.504594,46,249.652176,903.725281,87270,0.035195
1.811609,29,396.000000,1359.549683,100636,0.022188
2.181271,16,717.750000,1940.908691,116516,0.012242
2.626363,8,1435.500000,2594.162598,135808,0.006121
3.162277,5,2296.800049,2970.324463,161050,0.003826
