,t,p,v,replicate,Omega,D
0,1,3,0.9997000449955004,9,1.0,1
0,2,3,0.9994001799640054,9,0.9090909090909091,2
0,3,3,0.9991004048785274,9,0.8333333333333334,2
0,4,3,0.9988007197120864,9,0.7884615384615384,2
0,5,3,0.9985011244377109,9,0.75,2
0,6,3,0.9982016190284373,9,0.7166666666666667,3
0,7,3,0.99790220345731,9,0.671875,4
0,8,3,0.9976028776973818,9,0.6323529411764706,5
0,9,3,0.9973036417217132,9,0.5972222222222222,5
0,11,3,0.9967054390154381,9,0.5625,6
0,12,3,0.9964064722309933,9,0.5357142857142857,6
0,13,3,0.9961075951231319,9,0.5227272727272727,7
0,15,3,0.9955101098295706,9,0.4895833333333333,8
0,17,3,0.9949129829196596,9,0.4519230769230769,9
0,19,3,0.9943162141784333,9,0.4375,10
0,21,3,0.9937198033910547,9,0.4083333333333333,11
0,23,3,0.9931237503428162,9,0.3984375,11
0,26,3,0.9922303410619892,9,0.38571428571428573,12
0,29,3,0.9913377354877926,9,0.3618421052631579,13
0,33,3,0.9901488436829572,9,0.35119047619047616,13
0,36,3,0.9892581106136482,9,0.34444444444444444,14
0,41,3,0.9877753358068531,9,0.325,15
0,45,3,0.9865907163177327,9,0.31627906976744186,16
0,51,3,0.9848164503467863,9,0.2928870292887029,20
0,57,3,0.9830453751820007,9,0.28517110266159695,20
0,63,3,0.9812774850850906,9,0.27526132404181186,22
0,70,3,0.9792189645694596,9,0.267515923566879,24
0,79,3,0.9765786394080872,9,0.25142857142857145,28
0,88,3,0.9739454335093212,9,0.24611398963730569,30
0,98,3,0.9710279755837746,9,0.23708920187793428,34
0,109,3,0.9678288647004981,9,0.23404255319148937,36
0,122,3,0.9640616829075641,9,0.22988505747126436,39
0,136,3,0.9600211149716509,9,0.2301038062283737,40
0,152,3,0.955424055389136,9,0.22741433021806853,43
0,170,3,0.950278670532427,9,0.2244039270687237,46
0,189,3,0.9448774900983175,9,0.21882951653944022,50
0,211,3,0.9386618328952578,9,0.21674311926605505,54
0,236,3,0.9316482031364975,9,0.21524201853759012,57
0,263,3,0.924132333057885,9,0.21262766945218198,62
0,293,3,0.915852457389955,9,0.20955574182732606,67
0,327,3,0.9065582433966389,9,0.20739064856711917,74
0,365,3,0.896282164362109,9,0.20542372881355933,80
0,407,3,0.8850598580913712,9,0.20134228187919462,91
0,454,3,0.8726680814179105,9,0.20043931905546403,97
0,507,3,0.8589023862078476,9,0.1978293043907252,108
0,566,3,0.8438335664341242,9,0.19787045252883761,113
0,631,3,0.8275382079893933,9,0.1943222710915634,125
0,704,3,0.8096121282623018,9,0.19044196909809558,144
0,785,3,0.7901756630088093,9,0.18828857974765448,157
0,876,3,0.7688956610664855,9,0.18237525532535745,177
0,977,3,0.7459475422131381,9,0.1795478443743428,194
0,1090,3,0.721083743026607,9,0.17647058823529413,205
0,1216,3,0.6943355040930131,9,0.17285531370038412,231
0,1357,3,0.6655776292106012,9,0.16807692307692307,258
0,1513,3,0.6351462446947723,9,0.16435506241331485,284
0,1688,3,0.602661258781,9,0.16023738872403562,316
0,1883,3,0.5684169856141117,9,0.15596846846846846,350
0,2101,3,0.5324320474308297,9,0.15166899352709734,384
0,2344,3,0.4949987706261828,9,0.14696449026345934,418
0,2614,3,0.4564847435443024,9,0.14256176987490954,455
0,2916,3,0.4169454004202404,9,0.13658855382317245,503
0,3253,3,0.3768530331620348,9,0.13206911083017278,542
0,3629,3,0.3366538593746406,9,0.12657938803470847,591
0,4048,3,0.29688809372110747,9,0.12041560586251979,642
0,4516,3,0.25799888907000595,9,0.11378065479895431,693
0,5037,3,0.22066711058516786,9,0.10771396396396396,739
0,5619,3,0.1853146662768882,9,0.10035677879714577,797
0,6268,3,0.15252908192016215,9,0.09279254337393872,860
0,6992,3,0.12275067663761144,9,0.08568923038376415,922
0,7799,3,0.09635654085713943,9,0.0791779993955878,982
0,8700,3,0.07353454376305711,9,0.0717241851079112,1044
0,9705,3,0.0543940775289511,9,0.06498530094383413,1103
0,10826,3,0.038859604991383925,9,0.05809233181220079,1169
0,12076,3,0.02670778988863032,9,0.052058816085845165,1231
0,13470,3,0.01757988373901181,9,0.046292484332830154,1291
0,15026,3,0.011022683423996628,9,0.041040999690178666,1354
0,16762,3,0.006547971316373659,9,0.03583480935955999,1430
0,18697,3,0.003664365803330976,9,0.031489175595888916,1489
0,20857,3,0.0019167964540059799,9,0.027693941002502463,1541
0,23265,3,0.0009307684711138365,9,0.024273901455614023,1597
0,25952,3,0.00041567784864626165,9,0.021101357922858163,1660
0,28949,3,0.0001691541717535011,9,0.018344251210942263,1720
0,32293,3,6.202952975106532e-05,9,0.016039580257750468,1768
0,36022,3,2.02653100139906e-05,9,0.013908954674754798,1826
0,40182,3,5.8177323658873e-06,9,0.012080471921174316,1879
0,44823,3,1.4457244681475616e-06,9,0.010475762104438416,1932
0,49999,3,3.05994104964958e-07,9,0.00906305014018387,1986
