,t,p,v,replicate,alpha,error
0,10000,1.0,0.0,0,-1.1089,64.6788
0,10000,1.0,0.025,0,-2.08108,259.2742
0,10000,1.0,0.05,0,-1.86238,106.9542
0,10000,1.0,0.075,0,-1.66807,42.1792
0,10000,1.0,0.1,0,-1.53834,26.434
0,10000,1.0,0.125,0,-1.43231,14.1341
0,10000,1.0,0.15,0,-1.41962,13.1014
0,10000,1.0,0.175,0,-1.29637,6.1888
0,10000,1.0,0.2,0,-1.28827,6.6143
0,10000,1.0,0.225,0,-1.26073,5.1198
0,10000,1.0,0.25,0,-1.23175,4.4986
0,10000,1.0,0.275,0,-1.18579,3.0695
0,10000,1.0,0.3,0,-1.16895,3.0331
0,10000,1.0,0.325,0,-1.11651,2.0205
0,10000,1.0,0.35,0,-1.1189,2.286
0,10000,1.0,0.375,0,-1.11325,2.159
0,10000,1.0,0.4,0,-1.08817,1.8002
0,10000,1.0,0.425,0,-1.0767,1.6991
0,10000,1.0,0.45,0,-1.05444,1.4539
0,10000,1.0,0.475,0,-1.02656,1.1325
0,10000,1.0,0.5,0,-1.02558,1.1497
0,10000,1.1,0.0,0,-1.05197,56.1089
0,10000,1.1,0.025,0,-2.12033,305.3058
0,10000,1.1,0.05,0,-1.71505,54.8362
0,10000,1.1,0.075,0,-1.65178,37.1091
0,10000,1.1,0.1,0,-1.55942,27.0041
0,10000,1.1,0.125,0,-1.46601,15.6876
0,10000,1.1,0.15,0,-1.43614,14.8886
0,10000,1.1,0.175,0,-1.32693,7.5204
0,10000,1.1,0.2,0,-1.30086,6.5037
0,10000,1.1,0.225,0,-1.22669,4.0597
0,10000,1.1,0.25,0,-1.25199,5.1628
0,10000,1.1,0.275,0,-1.19831,3.8383
0,10000,1.1,0.3,0,-1.1745,3.0064
0,10000,1.1,0.325,0,-1.14664,2.5698
0,10000,1.1,0.35,0,-1.1366,2.2976
0,10000,1.1,0.375,0,-1.11079,2.1254
0,10000,1.1,0.4,0,-1.09773,1.9987
0,10000,1.1,0.425,0,-1.07592,1.6223
0,10000,1.1,0.45,0,-1.05885,1.4177
0,10000,1.1,0.475,0,-1.04942,1.3104
0,10000,1.1,0.5,0,-1.02901,1.1554
0,10000,1.2,0.0,0,-1.47343,132.1484
0,10000,1.2,0.025,0,-2.16064,295.9408
0,10000,1.2,0.05,0,-1.81367,74.6459
0,10000,1.2,0.075,0,-1.68014,48.2194
0,10000,1.2,0.1,0,-1.53628,21.8227
0,10000,1.2,0.125,0,-1.45612,16.28
0,10000,1.2,0.15,0,-1.40396,11.2631
0,10000,1.2,0.175,0,-1.37143,8.718
0,10000,1.2,0.2,0,-1.29643,5.7285
0,10000,1.2,0.225,0,-1.31541,7.3105
0,10000,1.2,0.25,0,-1.25305,4.7712
0,10000,1.2,0.275,0,-1.24098,4.8987
0,10000,1.2,0.3,0,-1.19972,3.3127
0,10000,1.2,0.325,0,-1.20056,3.6694
0,10000,1.2,0.35,0,-1.16518,2.9536
0,10000,1.2,0.375,0,-1.14326,2.4377
0,10000,1.2,0.4,0,-1.11546,2.1047
0,10000,1.2,0.425,0,-1.11157,1.9857
0,10000,1.2,0.45,0,-1.0691,1.3168
0,10000,1.2,0.475,0,-1.04426,1.2497
0,10000,1.2,0.5,0,-1.03538,1.2233
0,10000,1.3,0.0,0,-1.1341,67.5304
0,10000,1.3,0.025,0,-2.08799,258.5325
0,10000,1.3,0.05,0,-1.88921,105.5092
0,10000,1.3,0.075,0,-1.6391,34.8799
0,10000,1.3,0.1,0,-1.59493,29.3361
0,10000,1.3,0.125,0,-1.48655,17.1723
0,10000,1.3,0.15,0,-1.40213,10.8625
0,10000,1.3,0.175,0,-1.37239,8.3645
0,10000,1.3,0.2,0,-1.33059,8.3984
0,10000,1.3,0.225,0,-1.27218,5.3922
0,10000,1.3,0.25,0,-1.25077,4.7546
0,10000,1.3,0.275,0,-1.21252,3.5857
0,10000,1.3,0.3,0,-1.22356,4.0772
0,10000,1.3,0.325,0,-1.17568,3.2179
0,10000,1.3,0.35,0,-1.16937,2.8031
0,10000,1.3,0.375,0,-1.1194,1.9286
0,10000,1.3,0.4,0,-1.11635,1.9498
0,10000,1.3,0.425,0,-1.11085,2.0306
0,10000,1.3,0.45,0,-1.09337,1.6733
0,10000,1.3,0.475,0,-1.05336,1.2179
0,10000,1.3,0.5,0,-1.06481,1.475
0,10000,1.4,0.0,0,-1.40642,129.2143
0,10000,1.4,0.025,0,-2.08505,237.9541
0,10000,1.4,0.05,0,-1.94725,127.1798
0,10000,1.4,0.075,0,-1.731,56.5933
0,10000,1.4,0.1,0,-1.57497,24.8977
0,10000,1.4,0.125,0,-1.44876,12.8312
0,10000,1.4,0.15,0,-1.42541,10.4042
0,10000,1.4,0.175,0,-1.37627,9.8436
0,10000,1.4,0.2,0,-1.38165,10.0687
0,10000,1.4,0.225,0,-1.29323,5.5436
