,t,p,v,replicate,alpha,error
0,10000,2.0,0.5,0,-1.09219,1.2229
0,10000,2.0,0.525,0,-1.11977,1.7461
0,10000,2.0,0.55,0,-1.10353,1.6272
0,10000,2.0,0.575,0,-1.07906,1.2633
0,10000,2.0,0.6,0,-1.07942,1.3798
0,10000,2.0,0.625,0,-1.05763,1.2183
0,10000,2.0,0.65,0,-1.05576,1.161
0,10000,2.0,0.675,0,-1.04013,1.0382
0,10000,2.0,0.7,0,-1.03679,0.8306
0,10000,2.0,0.725,0,-1.03788,1.0247
0,10000,2.0,0.75,0,-1.02931,1.0063
0,10000,2.0,0.775,0,-1.03169,1.0426
0,10000,2.0,0.8,0,-0.9923,0.6656
0,10000,2.0,0.825,0,-0.99185,0.6708
0,10000,2.0,0.85,0,-0.9845,0.6787
0,10000,2.0,0.875,0,-0.973,0.5256
0,10000,2.0,0.9,0,-0.96991,0.6809
0,10000,2.0,0.925,0,-0.96678,0.5831
0,10000,2.0,0.95,0,-0.94303,0.5094
0,10000,2.0,0.975,0,-0.93672,0.4432
0,10000,2.0,1.0,0,-0.92661,0.3765
0,10000,2.1,0.5,0,-1.12029,1.6066
0,10000,2.1,0.525,0,-1.11481,1.6132
0,10000,2.1,0.55,0,-1.12111,1.7955
0,10000,2.1,0.575,0,-1.09945,1.6852
0,10000,2.1,0.6,0,-1.05044,0.7452
0,10000,2.1,0.625,0,-1.07716,1.4937
0,10000,2.1,0.65,0,-1.05626,0.9582
0,10000,2.1,0.675,0,-1.03637,0.9714
0,10000,2.1,0.7,0,-1.04252,0.992
0,10000,2.1,0.725,0,-1.0236,0.8836
0,10000,2.1,0.75,0,-1.03949,1.0606
0,10000,2.1,0.775,0,-1.0234,0.7489
0,10000,2.1,0.8,0,-0.99751,0.7881
0,10000,2.1,0.825,0,-0.9942,0.7061
0,10000,2.1,0.85,0,-0.9776,0.5952
0,10000,2.1,0.875,0,-0.99564,0.7476
0,10000,2.1,0.9,0,-0.95232,0.4127
0,10000,2.1,0.925,0,-0.97802,0.6978
0,10000,2.1,0.95,0,-0.95844,0.4611
0,10000,2.1,0.975,0,-0.95398,0.549
0,10000,2.1,1.0,0,-0.9263,0.3834
0,10000,2.2,0.5,0,-1.16974,2.4919
0,10000,2.2,0.525,0,-1.13039,1.8272
0,10000,2.2,0.55,0,-1.11818,1.7561
0,10000,2.2,0.575,0,-1.09703,1.1814
0,10000,2.2,0.6,0,-1.08667,1.3248
0,10000,2.2,0.625,0,-1.06914,0.9048
0,10000,2.2,0.65,0,-1.05917,0.9616
0,10000,2.2,0.675,0,-1.03437,0.7026
0,10000,2.2,0.7,0,-1.05211,1.1001
0,10000,2.2,0.725,0,-1.05677,1.1662
0,10000,2.2,0.75,0,-1.03826,0.9917
0,10000,2.2,0.775,0,-1.01389,0.6883
0,10000,2.2,0.8,0,-1.0211,0.9191
0,10000,2.2,0.825,0,-1.012,0.8492
0,10000,2.2,0.85,0,-1.00056,0.8174
0,10000,2.2,0.875,0,-0.98741,0.5815
0,10000,2.2,0.9,0,-0.96719,0.5479
0,10000,2.2,0.925,0,-0.96871,0.5999
0,10000,2.2,0.95,0,-0.96623,0.6515
0,10000,2.2,0.975,0,-0.95407,0.4889
0,10000,2.2,1.0,0,-0.96054,0.5629
0,10000,2.3,0.5,0,-1.12133,1.645
0,10000,2.3,0.525,0,-1.11386,1.2712
0,10000,2.3,0.55,0,-1.11801,1.5019
0,10000,2.3,0.575,0,-1.10658,1.0512
0,10000,2.3,0.6,0,-1.10688,1.3958
0,10000,2.3,0.625,0,-1.07008,1.1035
0,10000,2.3,0.65,0,-1.09647,1.647
0,10000,2.3,0.675,0,-1.06875,1.1494
0,10000,2.3,0.7,0,-1.03707,1.039
0,10000,2.3,0.725,0,-1.0477,0.9375
0,10000,2.3,0.75,0,-1.04677,1.0146
0,10000,2.3,0.775,0,-1.02454,0.9236
0,10000,2.3,0.8,0,-1.01691,0.9037
0,10000,2.3,0.825,0,-1.00388,0.6059
0,10000,2.3,0.85,0,-1.00656,0.7387
0,10000,2.3,0.875,0,-0.99838,0.7676
0,10000,2.3,0.9,0,-0.98624,0.6023
0,10000,2.3,0.925,0,-0.98,0.6977
0,10000,2.3,0.95,0,-0.97609,0.5733
0,10000,2.3,0.975,0,-0.95409,0.4678
0,10000,2.3,1.0,0,-0.96282,0.5879
0,10000,2.4,0.5,0,-1.14286,1.9809
0,10000,2.4,0.525,0,-1.15456,1.8688
0,10000,2.4,0.55,0,-1.10803,1.4378
0,10000,2.4,0.575,0,-1.10782,1.3586
0,10000,2.4,0.6,0,-1.11045,1.5827
0,10000,2.4,0.625,0,-1.09488,1.4011
0,10000,2.4,0.65,0,-1.06493,1.0927
0,10000,2.4,0.675,0,-1.06898,1.0917
0,10000,2.4,0.7,0,-1.05057,1.0002
0,10000,2.4,0.725,0,-1.0375,0.7649
0,10000,2.4,0.75,0,-1.0361,0.9767
0,10000,2.4,0.775,0,-1.0285,0.864
0,10000,2.4,0.8,0,-1.00545,0.5351
0,10000,2.4,0.825,0,-0.99723,0.6098
0,10000,2.4,0.85,0,-1.01536,0.918
0,10000,2.4,0.875,0,-1.00285,0.7413
0,10000,2.4,0.9,0,-1.00577,0.7675
0,10000,2.4,0.925,0,-0.98874,0.6086
0,10000,2.4,0.95,0,-0.99293,0.5942
0,10000,2.4,0.975,0,-0.9596,0.4438
0,10000,2.4,1.0,0,-0.97391,0.5933
0,10000,2.5,0.5,0,-1.14159,2.0385
0,10000,2.5,0.525,0,-1.13694,1.6444
0,10000,2.5,0.55,0,-1.1515,2.0128
0,10000,2.5,0.575,0,-1.10077,1.2139
0,10000,2.5,0.6,0,-1.1126,1.3652
0,10000,2.5,0.625,0,-1.0932,1.1528
0,10000,2.5,0.65,0,-1.09004,1.1523
0,10000,2.5,0.675,0,-1.05238,0.9217
0,10000,2.5,0.7,0,-1.07711,1.3613
0,10000,2.5,0.725,0,-1.06031,1.0901
0,10000,2.5,0.75,0,-1.05231,0.8822
0,10000,2.5,0.775,0,-1.02416,0.7158
0,10000,2.5,0.8,0,-1.04414,1.0464
0,10000,2.5,0.825,0,-1.0053,0.4683
0,10000,2.5,0.85,0,-0.99215,0.5676
0,10000,2.5,0.875,0,-1.0213,0.8697
0,10000,2.5,0.9,0,-0.99713,0.4997
0,10000,2.5,0.925,0,-0.99074,0.7498
0,10000,2.5,0.95,0,-0.98946,0.696
0,10000,2.5,0.975,0,-0.97839,0.5698
0,10000,2.5,1.0,0,-0.96597,0.4618
0,10000,2.6,0.5,0,-1.14205,1.8394
0,10000,2.6,0.525,0,-1.13887,1.547
0,10000,2.6,0.55,0,-1.15452,1.9997
0,10000,2.6,0.575,0,-1.12302,1.6755
0,10000,2.6,0.6,0,-1.11806,1.902
0,10000,2.6,0.625,0,-1.08502,0.9588
0,10000,2.6,0.65,0,-1.09688,1.3833
0,10000,2.6,0.675,0,-1.0818,1.1603
0,10000,2.6,0.7,0,-1.07052,1.2521
0,10000,2.6,0.725,0,-1.06622,1.117
0,10000,2.6,0.75,0,-1.06552,1.1362
0,10000,2.6,0.775,0,-1.04438,1.0309
0,10000,2.6,0.8,0,-1.02227,0.7271
0,10000,2.6,0.825,0,-1.04713,1.0826
0,10000,2.6,0.85,0,-1.03511,0.8656
0,10000,2.6,0.875,0,-1.02151,0.7581
0,10000,2.6,0.9,0,-1.02089,0.8021
0,10000,2.6,0.925,0,-1.00119,0.5529
0,10000,2.6,0.95,0,-0.98409,0.5996
0,10000,2.6,0.975,0,-0.99758,0.7276
0,10000,2.6,1.0,0,-0.98132,0.5692
0,10000,2.7,0.5,0,-1.16304,2.0576
0,10000,2.7,0.525,0,-1.17336,2.3791
0,10000,2.7,0.55,0,-1.15052,2.0374
0,10000,2.7,0.575,0,-1.13423,1.7851
0,10000,2.7,0.6,0,-1.13777,1.9253
0,10000,2.7,0.625,0,-1.11581,1.756
0,10000,2.7,0.65,0,-1.09595,1.3653
0,10000,2.7,0.675,0,-1.10278,1.5728
0,10000,2.7,0.7,0,-1.07145,1.019
0,10000,2.7,0.725,0,-1.07836,1.296
0,10000,2.7,0.75,0,-1.07622,0.9735
0,10000,2.7,0.775,0,-1.06072,0.9629
0,10000,2.7,0.8,0,-1.04885,1.0559
0,10000,2.7,0.825,0,-1.02428,0.8243
0,10000,2.7,0.85,0,-1.02716,0.8611
0,10000,2.7,0.875,0,-1.03143,0.8811
0,10000,2.7,0.9,0,-1.01914,0.8086
0,10000,2.7,0.925,0,-1.01456,0.6723
0,10000,2.7,0.95,0,-1.01018,0.7883
0,10000,2.7,0.975,0,-1.00232,0.6888
0,10000,2.7,1.0,0,-0.98372,0.6195
0,10000,2.8,0.5,0,-1.18203,2.4259
0,10000,2.8,0.525,0,-1.17677,1.9973
0,10000,2.8,0.55,0,-1.14032,1.7902
0,10000,2.8,0.575,0,-1.12277,1.4309
0,10000,2.8,0.6,0,-1.12843,1.7258
0,10000,2.8,0.625,0,-1.13777,1.7957
0,10000,2.8,0.65,0,-1.12406,1.8309
0,10000,2.8,0.675,0,-1.10962,1.4263
0,10000,2.8,0.7,0,-1.08561,1.0701
0,10000,2.8,0.725,0,-1.08648,1.3329
0,10000,2.8,0.75,0,-1.0999,1.5348
0,10000,2.8,0.775,0,-1.06845,1.2441
0,10000,2.8,0.8,0,-1.07488,0.9778
0,10000,2.8,0.825,0,-1.04008,0.8279
0,10000,2.8,0.85,0,-1.03956,0.8079
0,10000,2.8,0.875,0,-1.01865,0.7409
0,10000,2.8,0.9,0,-1.0099,0.5342
0,10000,2.8,0.925,0,-1.01718,0.7573
0,10000,2.8,0.95,0,-0.98714,0.549
0,10000,2.8,0.975,0,-1.0026,0.6306
0,10000,2.8,1.0,0,-1.00696,0.8063
0,10000,2.9,0.5,0,-1.17613,2.286
0,10000,2.9,0.525,0,-1.17685,2.288
0,10000,2.9,0.55,0,-1.13715,1.6549
0,10000,2.9,0.575,0,-1.10596,0.7491
0,10000,2.9,0.6,0,-1.10487,0.6567
0,10000,2.9,0.625,0,-1.13837,1.8688
0,10000,2.9,0.65,0,-1.11249,1.3086
0,10000,2.9,0.675,0,-1.10888,1.3833
0,10000,2.9,0.7,0,-1.10463,1.3394
0,10000,2.9,0.725,0,-1.08758,0.8663
0,10000,2.9,0.75,0,-1.08497,1.1095
0,10000,2.9,0.775,0,-1.05753,0.8876
0,10000,2.9,0.8,0,-1.06334,0.8107
0,10000,2.9,0.825,0,-1.04528,0.9026
0,10000,2.9,0.85,0,-1.03788,0.7704
0,10000,2.9,0.875,0,-1.02558,0.7749
0,10000,2.9,0.9,0,-1.03869,0.8669
0,10000,2.9,0.925,0,-1.03052,0.9964
0,10000,2.9,0.95,0,-1.02572,0.8246
0,10000,2.9,0.975,0,-1.00644,0.7569
0,10000,2.9,1.0,0,-1.01004,0.7327
0,10000,3.0,0.5,0,-1.19522,2.4677
0,10000,3.0,0.525,0,-1.17805,2.0223
0,10000,3.0,0.55,0,-1.18019,2.3536
0,10000,3.0,0.575,0,-1.19664,2.8455
0,10000,3.0,0.6,0,-1.13526,1.6543
0,10000,3.0,0.625,0,-1.12157,1.5039
0,10000,3.0,0.65,0,-1.10738,1.1261
0,10000,3.0,0.675,0,-1.13206,1.8275
0,10000,3.0,0.7,0,-1.08202,1.1069
0,10000,3.0,0.725,0,-1.09671,1.2437
0,10000,3.0,0.75,0,-1.08639,1.2357
0,10000,3.0,0.775,0,-1.06602,0.9604
0,10000,3.0,0.8,0,-1.08068,1.167
0,10000,3.0,0.825,0,-1.07211,1.2469
0,10000,3.0,0.85,0,-1.02737,0.3198
0,10000,3.0,0.875,0,-1.04624,0.794
0,10000,3.0,0.9,0,-1.03238,0.744
0,10000,3.0,0.925,0,-1.0283,0.8301
0,10000,3.0,0.95,0,-1.02788,0.8043
0,10000,3.0,0.975,0,-1.01191,0.774
0,10000,3.0,1.0,0,-1.00501,0.5935
0,10000,2.0,0.5,1,-1.12976,1.5382
0,10000,2.0,0.525,1,-1.11634,1.4832
0,10000,2.0,0.55,1,-1.0959,1.2737
0,10000,2.0,0.575,1,-1.0751,1.1518
0,10000,2.0,0.6,1,-1.07165,1.1546
0,10000,2.0,0.625,1,-1.07952,1.403
0,10000,2.0,0.65,1,-1.05125,1.067
0,10000,2.0,0.675,1,-1.03715,0.8689
0,10000,2.0,0.7,1,-1.02847,1.0066
0,10000,2.0,0.725,1,-1.00562,0.7467
0,10000,2.0,0.75,1,-1.03286,1.0078
0,10000,2.0,0.775,1,-0.99443,0.6613
0,10000,2.0,0.8,1,-0.99142,0.6664
0,10000,2.0,0.825,1,-0.97812,0.6522
0,10000,2.0,0.85,1,-0.95644,0.3927
0,10000,2.0,0.875,1,-0.97655,0.5872
0,10000,2.0,0.9,1,-0.95188,0.4766
0,10000,2.0,0.925,1,-0.95915,0.5445
0,10000,2.0,0.95,1,-0.9748,0.6457
0,10000,2.0,0.975,1,-0.93597,0.428
0,10000,2.0,1.0,1,-0.93907,0.5069
0,10000,2.1,0.5,1,-1.13265,1.7501
0,10000,2.1,0.525,1,-1.13703,1.6123
0,10000,2.1,0.55,1,-1.0946,1.5673
0,10000,2.1,0.575,1,-1.10675,1.6028
0,10000,2.1,0.6,1,-1.07066,1.1295
0,10000,2.1,0.625,1,-1.07998,1.4545
0,10000,2.1,0.65,1,-1.0874,1.5835
0,10000,2.1,0.675,1,-1.04877,0.9503
0,10000,2.1,0.7,1,-1.05454,1.1784
0,10000,2.1,0.725,1,-1.01979,0.7978
0,10000,2.1,0.75,1,-1.03343,1.0126
0,10000,2.1,0.775,1,-0.99403,0.6028
0,10000,2.1,0.8,1,-1.00549,0.807
0,10000,2.1,0.825,1,-0.99185,0.6171
0,10000,2.1,0.85,1,-0.98203,0.5935
0,10000,2.1,0.875,1,-0.97629,0.553
0,10000,2.1,0.9,1,-0.97275,0.6858
0,10000,2.1,0.925,1,-0.96073,0.5557
0,10000,2.1,0.95,1,-0.94026,0.4552
0,10000,2.1,0.975,1,-0.95519,0.5883
0,10000,2.1,1.0,1,-0.94655,0.491
0,10000,2.2,0.5,1,-1.11277,1.4642
0,10000,2.2,0.525,1,-1.14408,2.2625
0,10000,2.2,0.55,1,-1.1104,1.4394
0,10000,2.2,0.575,1,-1.08949,1.4725
0,10000,2.2,0.6,1,-1.11225,1.7632
0,10000,2.2,0.625,1,-1.0642,1.032
0,10000,2.2,0.65,1,-1.07241,1.1881
0,10000,2.2,0.675,1,-1.06478,1.1756
0,10000,2.2,0.7,1,-1.05005,1.0544
0,10000,2.2,0.725,1,-1.03474,0.796
0,10000,2.2,0.75,1,-1.03147,0.811
0,10000,2.2,0.775,1,-1.01559,0.739
0,10000,2.2,0.8,1,-1.02942,0.9901
0,10000,2.2,0.825,1,-1.02173,0.9374
0,10000,2.2,0.85,1,-0.99268,0.6278
0,10000,2.2,0.875,1,-0.99162,0.6117
0,10000,2.2,0.9,1,-0.98348,0.6531
0,10000,2.2,0.925,1,-0.97832,0.5896
0,10000,2.2,0.95,1,-0.94592,0.4125
0,10000,2.2,0.975,1,-0.95891,0.5681
0,10000,2.2,1.0,1,-0.96726,0.6419
0,10000,2.3,0.5,1,-1.1541,1.919
0,10000,2.3,0.525,1,-1.15614,2.3059
0,10000,2.3,0.55,1,-1.11465,1.5919
0,10000,2.3,0.575,1,-1.10474,1.3836
0,10000,2.3,0.6,1,-1.08974,1.316
0,10000,2.3,0.625,1,-1.10581,1.7592
0,10000,2.3,0.65,1,-1.07636,1.1462
0,10000,2.3,0.675,1,-1.08422,1.4622
0,10000,2.3,0.7,1,-1.04997,0.8936
0,10000,2.3,0.725,1,-1.02421,0.8159
0,10000,2.3,0.75,1,-1.04569,1.0865
0,10000,2.3,0.775,1,-1.04005,1.098
0,10000,2.3,0.8,1,-1.02264,0.9021
0,10000,2.3,0.825,1,-1.00567,0.757
0,10000,2.3,0.85,1,-1.00709,0.7994
0,10000,2.3,0.875,1,-0.99664,0.718
0,10000,2.3,0.9,1,-0.98865,0.6755
0,10000,2.3,0.925,1,-0.97161,0.5539
0,10000,2.3,0.95,1,-0.94973,0.4146
0,10000,2.3,0.975,1,-0.97606,0.5927
0,10000,2.3,1.0,1,-0.97415,0.5967
0,10000,2.4,0.5,1,-1.14923,1.9508
0,10000,2.4,0.525,1,-1.13549,1.6744
0,10000,2.4,0.55,1,-1.11568,1.4048
0,10000,2.4,0.575,1,-1.07678,0.8646
0,10000,2.4,0.6,1,-1.10782,1.4514
0,10000,2.4,0.625,1,-1.10331,1.4035
0,10000,2.4,0.65,1,-1.08786,1.4889
0,10000,2.4,0.675,1,-1.08089,1.3574
0,10000,2.4,0.7,1,-1.05501,1.1238
0,10000,2.4,0.725,1,-1.05806,1.1381
0,10000,2.4,0.75,1,-1.06797,1.3382
0,10000,2.4,0.775,1,-1.01528,0.601
0,10000,2.4,0.8,1,-1.02109,0.6525
0,10000,2.4,0.825,1,-1.03384,1.0308
0,10000,2.4,0.85,1,-1.00122,0.5242
0,10000,2.4,0.875,1,-1.00542,0.7982
0,10000,2.4,0.9,1,-0.99975,0.7074
0,10000,2.4,0.925,1,-0.99611,0.6816
0,10000,2.4,0.95,1,-0.97965,0.5653
0,10000,2.4,0.975,1,-0.99211,0.7665
0,10000,2.4,1.0,1,-0.95433,0.4704
0,10000,2.5,0.5,1,-1.18191,2.5052
0,10000,2.5,0.525,1,-1.13303,1.4098
0,10000,2.5,0.55,1,-1.15499,2.2533
0,10000,2.5,0.575,1,-1.14141,2.069
0,10000,2.5,0.6,1,-1.10527,1.4971
0,10000,2.5,0.625,1,-1.11335,1.7419
0,10000,2.5,0.65,1,-1.07323,0.9011
0,10000,2.5,0.675,1,-1.06385,0.8886
0,10000,2.5,0.7,1,-1.08231,1.0705
0,10000,2.5,0.725,1,-1.04233,0.8708
0,10000,2.5,0.75,1,-1.04781,0.9964
0,10000,2.5,0.775,1,-1.05422,1.1338
0,10000,2.5,0.8,1,-1.04412,1.045
0,10000,2.5,0.825,1,-1.00825,0.6851
0,10000,2.5,0.85,1,-1.01186,0.8071
0,10000,2.5,0.875,1,-1.01341,0.7687
0,10000,2.5,0.9,1,-0.98253,0.5714
0,10000,2.5,0.925,1,-0.99188,0.6526
0,10000,2.5,0.95,1,-0.98612,0.7125
0,10000,2.5,0.975,1,-0.96637,0.3957
0,10000,2.5,1.0,1,-0.97206,0.6434
0,10000,2.6,0.5,1,-1.18338,2.4981
0,10000,2.6,0.525,1,-1.16293,2.3149
0,10000,2.6,0.55,1,-1.09694,1.0842
0,10000,2.6,0.575,1,-1.11581,1.4767
0,10000,2.6,0.6,1,-1.11071,1.3623
0,10000,2.6,0.625,1,-1.08073,0.891
0,10000,2.6,0.65,1,-1.10653,1.4378
0,10000,2.6,0.675,1,-1.07883,1.1465
0,10000,2.6,0.7,1,-1.07419,1.0062
0,10000,2.6,0.725,1,-1.06606,1.0012
0,10000,2.6,0.75,1,-1.05414,1.0023
0,10000,2.6,0.775,1,-1.04313,0.8721
0,10000,2.6,0.8,1,-1.0383,0.9395
0,10000,2.6,0.825,1,-1.02217,0.8437
0,10000,2.6,0.85,1,-1.03055,1.0244
0,10000,2.6,0.875,1,-1.01289,0.7278
0,10000,2.6,0.9,1,-1.0278,0.8758
0,10000,2.6,0.925,1,-1.00657,0.7237
0,10000,2.6,0.95,1,-0.99053,0.6147
0,10000,2.6,0.975,1,-0.99682,0.6932
0,10000,2.6,1.0,1,-0.99039,0.7348
0,10000,2.7,0.5,1,-1.17826,2.1784
0,10000,2.7,0.525,1,-1.17085,2.2719
0,10000,2.7,0.55,1,-1.14485,1.9809
0,10000,2.7,0.575,1,-1.1341,1.8508
0,10000,2.7,0.6,1,-1.13328,1.7498
0,10000,2.7,0.625,1,-1.10176,1.4608
0,10000,2.7,0.65,1,-1.08894,1.1046
0,10000,2.7,0.675,1,-1.09217,1.293
0,10000,2.7,0.7,1,-1.06842,1.0539
0,10000,2.7,0.725,1,-1.07243,1.1353
0,10000,2.7,0.75,1,-1.05949,0.764
0,10000,2.7,0.775,1,-1.02186,0.4284
0,10000,2.7,0.8,1,-1.05455,1.0843
0,10000,2.7,0.825,1,-1.02139,0.5035
0,10000,2.7,0.85,1,-1.03625,0.9514
0,10000,2.7,0.875,1,-1.01521,0.7162
0,10000,2.7,0.9,1,-1.00786,0.6321
0,10000,2.7,0.925,1,-1.01194,0.7094
0,10000,2.7,0.95,1,-0.99822,0.6876
0,10000,2.7,0.975,1,-0.99727,0.5845
0,10000,2.7,1.0,1,-0.99966,0.6309
0,10000,2.8,0.5,1,-1.15019,1.6808
0,10000,2.8,0.525,1,-1.20072,2.5508
0,10000,2.8,0.55,1,-1.14548,1.7752
0,10000,2.8,0.575,1,-1.12735,1.6118
0,10000,2.8,0.6,1,-1.12311,1.7101
0,10000,2.8,0.625,1,-1.11457,1.3837
0,10000,2.8,0.65,1,-1.10676,1.5942
0,10000,2.8,0.675,1,-1.08273,1.0811
0,10000,2.8,0.7,1,-1.06966,1.0517
0,10000,2.8,0.725,1,-1.08471,1.2997
0,10000,2.8,0.75,1,-1.05202,0.9677
0,10000,2.8,0.775,1,-1.05964,1.0371
0,10000,2.8,0.8,1,-1.06714,1.2613
0,10000,2.8,0.825,1,-1.07369,1.3502
0,10000,2.8,0.85,1,-1.05637,0.9515
0,10000,2.8,0.875,1,-1.03676,0.8893
0,10000,2.8,0.9,1,-0.99999,0.4676
0,10000,2.8,0.925,1,-1.01329,0.7376
0,10000,2.8,0.95,1,-1.02367,0.8397
0,10000,2.8,0.975,1,-0.99345,0.6
0,10000,2.8,1.0,1,-0.9749,0.3893
0,10000,2.9,0.5,1,-1.16249,1.6763
0,10000,2.9,0.525,1,-1.16702,1.2538
0,10000,2.9,0.55,1,-1.16302,2.1097
0,10000,2.9,0.575,1,-1.11838,0.8913
0,10000,2.9,0.6,1,-1.14179,1.8766
0,10000,2.9,0.625,1,-1.11253,1.1275
0,10000,2.9,0.65,1,-1.10568,1.3255
0,10000,2.9,0.675,1,-1.10756,1.2642
0,10000,2.9,0.7,1,-1.08804,1.1911
0,10000,2.9,0.725,1,-1.06312,0.666
0,10000,2.9,0.75,1,-1.06873,1.0836
0,10000,2.9,0.775,1,-1.0556,0.9221
0,10000,2.9,0.8,1,-1.0686,1.1809
0,10000,2.9,0.825,1,-1.0365,0.7933
0,10000,2.9,0.85,1,-1.03949,0.8833
0,10000,2.9,0.875,1,-1.04062,0.9544
0,10000,2.9,0.9,1,-1.02624,0.8735
0,10000,2.9,0.925,1,-1.03211,0.9401
0,10000,2.9,0.95,1,-1.01506,0.778
0,10000,2.9,0.975,1,-1.02023,0.8843
0,10000,2.9,1.0,1,-0.99751,0.553
0,10000,3.0,0.5,1,-1.17348,1.759
0,10000,3.0,0.525,1,-1.17908,2.4543
0,10000,3.0,0.55,1,-1.13373,1.2995
0,10000,3.0,0.575,1,-1.1428,1.5276
0,10000,3.0,0.6,1,-1.16794,2.3568
0,10000,3.0,0.625,1,-1.12233,1.5404
0,10000,3.0,0.65,1,-1.13822,1.6456
0,10000,3.0,0.675,1,-1.09605,1.0372
0,10000,3.0,0.7,1,-1.11116,1.5097
0,10000,3.0,0.725,1,-1.10159,1.32
0,10000,3.0,0.75,1,-1.08113,1.2575
0,10000,3.0,0.775,1,-1.07544,1.1622
0,10000,3.0,0.8,1,-1.04945,0.6907
0,10000,3.0,0.825,1,-1.06196,1.1079
0,10000,3.0,0.85,1,-1.03803,0.8691
0,10000,3.0,0.875,1,-1.04106,1.0497
0,10000,3.0,0.9,1,-1.02175,0.645
0,10000,3.0,0.925,1,-1.02421,0.8082
0,10000,3.0,0.95,1,-1.01522,0.7689
0,10000,3.0,0.975,1,-1.01551,0.6449
0,10000,3.0,1.0,1,-1.0145,0.8202
0,10000,2.0,0.5,2,-1.12227,1.9537
0,10000,2.0,0.525,2,-1.12568,1.9094
0,10000,2.0,0.55,2,-1.09274,1.3835
0,10000,2.0,0.575,2,-1.0996,1.7877
0,10000,2.0,0.6,2,-1.0799,1.3648
0,10000,2.0,0.625,2,-1.06769,1.1853
