patent_id,date,filing_date,country,longitude,latitude,cpc,type,title,assignee,person,first,second,inventors,loc,cites,birth,death
4148070,1979-04-03,1977-01-31,GB,-0.127647,51.50732,G06T1/20,utility,Video processing system,"MICRO CO., LTD.",fl:ri_ln:taylor-32,Richard J.,Taylor,[],b38b1284-16c7-11ed-9b5f-1234bde3cd05,"3810174,3904817,4002827,3996419,4057836,3988533,3988533",1977-01-31,0-0-0
4322716,1982-03-30,1979-09-10,US,-83.731224,42.268158,"G06T1/20,G06V10/36",utility,Method and apparatus for pattern recognition and detection,Environmental Research Institute,fl:st_ln:sternberg-1,Stanley R.,Sternberg,[],4c7a9f37-16c8-11ed-9b5f-1234bde3cd05,"3878530,3723970,3636513,3289164,3889771,3889234,3196398,3959771,3106699,3761876,3624604,3214574,3748644,4003024,4110736,3573789,4167728,3339179,4224600,4124870,3287703,4060713,3706071,3631405,3106698,4174514,3638188,3846754,3219980,3968475,4174514,3638188,3846754,3219980,3968475",1979-09-10,0-0-0
4363104,1982-12-07,1980-09-22,US,-118.837601,34.170559,"G06F15/8015,G06T2207/20192,G06T2207/10016,G06T7/12,G06T1/20",utility,Imaging system having multiple image copying and hierarchical busing,Hughes Aircraft Company,fl:th_ln:nussmeier-1,Thomas A.,Nussmeier,[],c1073b1f-16c7-11ed-9b5f-1234bde3cd05,"3983320,4127873,3996421,4213150,4229797",1980-09-22,0-0-0
4430749,1984-02-07,1981-06-30,US,-88.083405,42.03336,"G06T1/20,G06T5/50,H04N5/3205",utility,Medical imaging apparatus and method for furnishing difference images,"Siemens Gammasonics, Inc.",fl:ma_ln:schardt-1,Mark A.,Schardt,[],e5e40109-16c7-11ed-9b5f-1234bde3cd05,"4217641,4355331,4335427,4002910,4323973,3894181",1981-06-30,0-0-0
4435792,1984-03-06,1982-06-30,US,-122.170242,37.427471,"G06T1/20,G09G5/393",utility,Raster memory manipulation apparatus,Sun Microsystems Inc.,fl:an_ln:bechtolsheim-1,Andreas,Bechtolsheim,[],c1927ee7-16c7-11ed-9b5f-1234bde3cd05,,1982-06-30,0-0-0
4459677,1984-07-10,1982-03-08,US,-122.159851,37.444332,"G09G5/022,G06F3/153,G09G5/39,G06F3/0489,G06T1/20",utility,VIQ Computer graphics system,Ampex Corporation,fl:th_ln:porter-5,Thomas K.,Porter,[],a26e22db-16c8-11ed-9b5f-1234bde3cd05,"4200869,3789367,4117473,4002827,4189743,3811113,4209832,4225861,4158838,4121283,4232311,4148070,3573855,4017680,3976982,4093996,4204208,3697678,4197590,4129859,4303986,4124871,4026555,3849594,4134131,4189744,4163249,4338599,4120028,4156914,4200867,4156914,4200867",1982-03-08,0-0-0
4510568,1985-04-09,1983-01-25,JP,139.414688,35.661068,"G06F9/445,G06F3/04883,G06T1/20",utility,Graphic processing method,FANUC CORPORATION,fl:ha_ln:kishi-2,Hajimu,Kishi,[],932dc780-16c8-11ed-9b5f-1234bde3cd05,"3887903,4451895,3906197",1983-01-25,0-0-0
4524455,1985-06-18,1981-06-01,US,-83.731224,42.268158,"G06F15/8015,G06T1/20",utility,Pipeline processor,Environmental Research Inst. of Michigan,fl:wl_ln:holsztynski-1,Wlodzimierz,Holsztynski,[],4c7a9f37-16c8-11ed-9b5f-1234bde3cd05,"4174514,3287702,3296426,4215401,4301443,3544973,3312943,3473160,3308436,3287703",1981-06-01,0-0-0
4545068,1985-10-01,1983-02-03,JP,139.63678,35.444996,G06T1/20,utility,Image processing system,Tokyo Shibaura Denki Kabushiki Kaisha,fl:mi_ln:tabata-4,Mitsuo,Tabata,[],1d2251c8-16c8-11ed-9b5f-1234bde3cd05,"4442495,3905018,4395699,4120049",1983-02-03,0-0-0
4546433,1985-10-08,1982-06-29,GB,0.475736,51.575462,G06T1/20,utility,Arrangement for processing data in a two-dimensional array,GEC Avionics Limited,fl:ch_ln:tucker-2,Christopher J.,Tucker,[],42a65053-16c8-11ed-9b5f-1234bde3cd05,"4403287,3339179,3308436,4141066,4380046,3106698",1982-06-29,0-0-0
