patent_id,date,filing_date,country,longitude,latitude,cpc,type,title,assignee,person,first,second,inventors,loc,cites,birth,death
793128,1905-06-27,1904-10-31,USA,-87.632446,41.884251,,utility,Method of treating oil and gas wells. ,"Julia B Follette, Fulton Gardner",,,FULTON GARDNER,"['Fuuron GARDNER','FULTON GARDNER']",,,1904,1922
825745,1906-07-10,1904-08-04,USA,-79.831177,41.3979,,utility,Oil-flushing system. ,Mark D Mitchell,,,MARK D. MITCHELL,"['MARK D. MITCHELL','Marx D. MrrowE.t']",,,1904,1923
849524,1907-04-09,1902-06-23,USA,-83.065765,40.301147,,utility,Process of extracting and recovering the volatilizable contents of sedimentary mineral strata. ,Delos R Baker,,,-DELOS R. BAKER,"['-DELOS R. BAKER','Detos R. Baker']",,,1902,1924
895612,1908-08-11,1902-06-11,USA,-83.065765,40.301147,,utility,Apparatus for extracting the volatilizable contents of sedimentary strata. ,Delos R Baker,,,DELOS.R. BAKER,"['DELOS.R. BAKER','Detos R. Barer']",,,1902,1925
934745,1909-09-21,1907-04-06,RUS,30.306089,59.933189,,utility,Method of raising naphtha. ,Wiaczeslaw Mitkiewicz-Joltok,,,WIACZESLAW MITKIEWICZ-JOLTORK,"['WIACZESLAW MITKIEWICZ-JOLTORK','Wiaczestaw Mrrxie- wicz-JoLroK']",,,1907,1926
956058,1910-04-26,1909-02-13,USA,-74.007141,40.71455,,utility,Method of treating oil-wells. ,E E Burlingame,,,"ALFRED P, ELTEN","['ALFRED P, ELTEN']",,,1909,1927
1093031,1914-04-14,,USA,-96.795113,32.778229,,utility,Method of raising fluids from artesian wells. ,Frank O Brown,,,FRANK 0. BROWN,"['Franx O. Brown','FRANK 0. BROWN']",,,1914,1931
1099170,1914-06-09,1913-12-12,USA,-81.461189,39.423939,,utility,Process for increasing the production of oil-wells. ,Petroleum Patents Company,,,"IRWIN L, DUNN","['IRWIN L, DUNN','Irwin L..Duny']",,,1913,1931
1101605,1914-06-30,1912-12-20,USA,-95.985695,35.433838,,utility,Method for conserving natural gas and oil. ,Thomas W Wright,,,Tuomas W. Wricut,"['Tuomas W. Wricut','THOMAS W. WRIGHT']",,,1912,1931
1105727,1914-08-04,1912-07-06,USA,-79.709511,41.428394,,utility,Process of producing gasolene. ,"John William Waitz, Judson D Trax, William M Parker",,,Joun W. Warrz,"['Joun W. Warrz','JOHN WILLIAM WAITZ']",,,1912,1931
1107416,1914-08-18,1912-03-18,USA,-118.19239,33.766735,,utility,Method of restoring and increasing the production of oil and gas wells. ,Irwin L Dunn,,,IRWIN L. DUNN,"['IRWIN L. DUNN','Irwmy L. Down']",,,1912,1931
1152392,1915-09-07,1914-02-10,USA,-74.007141,40.71455,,utility,Method of treating subterranean wells. ,Subterranean Heater Corp,,,ALFRED PICK,"['ALFRED PICK','Epwarp Nicxias Brerrune']",,,1914,1932
1169261,1916-01-25,1915-04-28,USA,-92.017059,30.220331,,utility,Cleaning oil-wells. ,"Louise Guidry Moss, William Daniel Huff",,,Wuisam D. Horr,"['Wuisam D. Horr','WILLIAM DANIEL HUFF']",,,1915,1933
1198078,1916-09-12,1916-03-09,USA,-81.461189,39.423939,,utility,Method of recovering oil and gas. ,Walter Squires,,,FREDERICK SQUIRES,"['FREDERICK SQUIRES','Frepertck Squinss']",,,1916,1933
1238355,1917-08-28,1917-01-12,USA,-81.461189,39.423939,,utility,Method of recovering oil and gas. ,Walter Squires,,,FREDERICK SQUIRES,"['FREDERICK SQUIRES','Frepertck Squirus']",,,1917,1934
1249232,1917-12-04,1917-06-19,USA,-81.425835,39.426373,,utility,Apparatus for and method of recovering oil and gas. ,Walter Squires,,,Frepertck Squires,"['Frepertck Squires','FREDERICK SQUIRES']",,,1917,1934
1252557,1918-01-08,1916-05-13,USA,-81.454872,39.424854,,utility,Process and apparatus for increasing the production of oil-wells. ,Petroleum Patents Company,,,Irwin L. Dunn,"['Irwin L. Dunn','IRWIN L. DUNN']",,,1916,1935
1286666,1918-12-03,1917-04-03,USA,-90.049263,35.149769,,utility,Method of collecting and pumping water. ,Mahlon E Layne,,,MAHLOW E. LAYNE,"['Manion E. Larne','MAHLOW E. LAYNE']",,,1917,1935
1295243,1919-02-25,1917-03-22,USA,-79.691788,41.469292,,utility,Method of operating oil-wells. ,Charles A Waitz,,,"CHARLES A, WAITZ","['CHARLES A, WAITZ','Cuartes A. Wartz']",,,1917,1936
1327268,1920-01-06,1919-06-09,USA,-85.288002,34.985336,,utility,Method of sealing crevices in rock formations ,George W Christians,,,Grores W. Curis- TIANS,"['Grores W. Curis- TIANS','GEORGE W. CHRISTIANS']",,,1919,1937
1327269,1920-01-06,1919-06-09,USA,-85.309471,35.046722,,utility,Apparatus for use in sealing crevices in rock formations ,George W Christians,,,Grorcr W. Cunis- wrANs,"['Grorcr W. Cunis- wrANs','GEORGE W. CHRISTIANS']",,,1919,1937
1342741,1920-06-08,1918-01-17,USA,-77.03196,38.890369,,utility,Process for extracting oils and hydrocarbon material from shale and similar bituminous rocks ,David T Day,,,DAVID T. DAY,"['DAVID T. DAY','Davin T. Day']",,,1918,1937
1354757,1920-10-05,1917-02-03,USA,-79.884392,40.420639,,utility,Apparatus for treating oil-wells ,"Frank C Reed, Isaac De Kaiser",,,ArrHur G. Popcxs,"['ArrHur G. Popcxs','ARTHUR G. POPCKE','Wiuutam R. JOHNSTON','WILLIAM R. JOHNSTON']",,,1917,1937
1372743,1921-03-29,1920-07-01,USA,-87.603851,41.805912,,utility,System for removing obstructions to the flow of fluid in the earth strata adjacent to wells ,Gardner Benjamin Fulton,,,Beysamin Fouiron Garpner,"['Beysamin Fouiron Garpner','BENJAMIN FULTON GARDNER']",,,1920,1938
